game_id,agent_id,model,survived,was_winner,game_outcome,total_rounds,reflection
20260520_203011,A,openai:gpt-5.4-mini-2026-03-17,True,False,SUCCESS,3,[No reflection - reflection_mode is 'none']
20260520_203011,B,openai:gpt-5.4-mini-2026-03-17,False,False,SUCCESS,3,[No reflection - reflection_mode is 'none']
20260520_203011,C,openai:gpt-5.4-mini-2026-03-17,True,True,SUCCESS,3,[No reflection - reflection_mode is 'none']
20260520_203011,D,dummy,False,False,SUCCESS,3,[No reflection - reflection_mode is 'none']
20260520_203235,A,openai:gpt-5.4-mini-2026-03-17,True,False,SUCCESS,2,[No reflection - reflection_mode is 'none']
20260520_203235,B,openai:gpt-5.4-mini-2026-03-17,True,True,SUCCESS,2,[No reflection - reflection_mode is 'none']
20260520_203235,C,openai:gpt-5.4-mini-2026-03-17,False,False,SUCCESS,2,[No reflection - reflection_mode is 'none']
20260520_203235,D,dummy,True,False,SUCCESS,2,[No reflection - reflection_mode is 'none']
20260520_203414,A,openai:gpt-5.4-mini-2026-03-17,False,False,SUCCESS,2,[No reflection - reflection_mode is 'none']
20260520_203414,B,openai:gpt-5.4-mini-2026-03-17,True,False,SUCCESS,2,[No reflection - reflection_mode is 'none']
20260520_203414,C,openai:gpt-5.4-mini-2026-03-17,True,True,SUCCESS,2,[No reflection - reflection_mode is 'none']
20260520_203414,D,dummy,True,False,SUCCESS,2,[No reflection - reflection_mode is 'none']
20260520_203621,A,openai:gpt-5.4-mini-2026-03-17,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260520_203621,B,openai:gpt-5.4-mini-2026-03-17,True,True,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260520_203621,C,openai:gpt-5.4-mini-2026-03-17,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260520_203621,D,dummy,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260520_203724,A,openai:gpt-5.4-mini-2026-03-17,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260520_203724,B,openai:gpt-5.4-mini-2026-03-17,True,True,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260520_203724,C,openai:gpt-5.4-mini-2026-03-17,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260520_203724,D,dummy,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260520_203811,A,openai:gpt-5.4-mini-2026-03-17,True,True,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260520_203811,B,openai:gpt-5.4-mini-2026-03-17,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260520_203811,C,openai:gpt-5.4-mini-2026-03-17,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260520_203811,D,dummy,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260520_203845,A,openai:gpt-5.4-mini-2026-03-17,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260520_203845,B,openai:gpt-5.4-mini-2026-03-17,True,True,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260520_203845,C,openai:gpt-5.4-mini-2026-03-17,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260520_203845,D,dummy,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
