game_id,round,question_id,capsule_label,correct_answer,player_answers
20260521_000715,1,Q1,Q1-A+B+C,7,"A,B,C:7"
20260521_000715,1,Q2,Q2-B+A,36,"B,A:36"
20260521_000715,1,Q3,Q3-C,38,C:38
20260521_000715,1,Q4,Q4-D,9,D:wrong answer
20260521_000715,2,Q1,Q1-A+B+C,7,"A,B,C:7"
20260521_000715,2,Q2,Q2-B+A,36,"B,A:36"
20260521_000715,2,Q3,Q3-C+B,38,"C,B:38"
20260521_000715,2,Q4,Q4-D,9,D:wrong answer
20260521_000715,3,Q1,Q1-A+B+C,7,"A,B,C:7"
20260521_000715,3,Q2,Q2-B+A,36,"B,A:36"
20260521_000715,3,Q3,Q3-C+B,38,"C,B:38"
20260521_000715,3,Q4,Q4-D,9,D:wrong answer
20260521_000715,3,Q4,Q4-B,9,B:9
20260521_000715,4,Q1,Q1-A+B+C,7,"A,B,C:7"
20260521_000715,4,Q2,Q2-B+A,36,"B,A:36"
20260521_000715,4,Q3,Q3-C+B,38,"C,B:38"
20260521_000715,4,Q4,Q4-D,9,D:wrong answer
20260521_000715,4,Q4,Q4-B,9,B:9
20260521_001001,1,Q1,Q1-A+B,9,"A,B:9"
20260521_001001,1,Q2,Q2-B+A,9,"B,A:9"
20260521_001001,1,Q3,Q3-C,78,C:78
20260521_001001,1,Q4,Q4-D,63,D:63
20260521_001105,1,Q1,Q1-A+B,11,"A,B:11"
20260521_001105,1,Q2,Q2-B+A,38,"B,A:38"
20260521_001105,1,Q3,Q3-C,66,C:66
20260521_001105,1,Q4,Q4-D,80,D:80
20260521_001154,1,Q1,Q1-A+B,7,"A,B:7"
20260521_001154,1,Q2,Q2-B+A,48,"B,A:48"
20260521_001154,1,Q3,Q3-C,6,C:6
20260521_001154,1,Q4,Q4-D,88,D:88
20260521_001236,1,Q1,Q1-A+B,5,"A,B:5"
20260521_001236,1,Q2,Q2-B+A,90,"B,A:90"
20260521_001236,1,Q3,Q3-C,90,C:90
20260521_001236,1,Q4,Q4-D,8,D:wrong answer
20260521_001236,2,Q1,Q1-A+B,5,"A,B:5"
20260521_001236,2,Q2,Q2-B+A,90,"B,A:90"
20260521_001236,2,Q3,Q3-C+A+B,90,"C,A,B:90"
20260521_001236,2,Q4,Q4-D,8,D:wrong answer
20260521_001236,3,Q1,Q1-A+B,5,"A,B:5"
20260521_001236,3,Q2,Q2-B+A,90,"B,A:90"
20260521_001236,3,Q3,Q3-C+A+B,90,"C,A,B:90"
20260521_001236,3,Q4,Q4-D,8,D:wrong answer
20260521_001236,3,Q4,Q4-A+B,8,"A,B:8"
20260521_001236,4,Q1,Q1-A+B,5,"A,B:5"
20260521_001236,4,Q2,Q2-B+A,90,"B,A:90"
20260521_001236,4,Q3,Q3-C+A+B,90,"C,A,B:90"
20260521_001236,4,Q4,Q4-D,8,D:wrong answer
20260521_001236,4,Q4,Q4-A+B,8,"A,B:8"
20260521_001526,1,Q1,Q1-A,8,A:8
20260521_001526,1,Q2,Q2-B+A,45,"B,A:45"
20260521_001526,1,Q3,Q3-C,34,C:34
20260521_001526,1,Q4,Q4-D+B+C,84,"D,B,C:84"
20260521_001526,2,Q1,Q1-A,8,A:8
20260521_001526,2,Q2,Q2-B+A,45,"B,A:45"
20260521_001526,2,Q3,Q3-C+A,34,"C,A:34"
20260521_001526,2,Q4,Q4-D+B+C,84,"D,B,C:84"
20260521_001756,1,Q1,Q1-A,84,A:84
20260521_001756,1,Q2,Q2-B+A,72,"B,A:72"
20260521_001756,1,Q3,Q3-C,66,C:66
20260521_001756,1,Q4,Q4-D+B,33,"D,B:33"
20260521_001908,1,Q1,Q1-A,84,A:84
20260521_001908,1,Q2,Q2-B+A,48,"B,A:48"
20260521_001908,1,Q3,Q3-C,8,C:8
20260521_001908,1,Q4,Q4-D+B,36,"D,B:36"
20260521_002948,1,Q1,Q1-A,76,A:76
20260521_002948,1,Q2,Q2-B+A,87,"B,A:87"
20260521_002948,1,Q3,Q3-C,5,C:5
20260521_002948,1,Q4,Q4-D+B,39,"D,B:39"
20260521_003019,1,Q1,Q1-A,9,A:9
20260521_003019,1,Q2,Q2-B+A,79,"B,A:79"
20260521_003019,1,Q3,Q3-C,11,C:11
20260521_003019,1,Q4,Q4-D+B,83,"D,B:83"
20260521_003046,1,Q1,Q1-A,48,A:48
20260521_003046,1,Q2,Q2-B+A,60,"B,A:60"
20260521_003046,1,Q3,Q3-C,43,C:43
20260521_003046,1,Q4,Q4-D+B,6,"D,B:6"
