game_id,round,question_id,capsule_label,correct_answer,player_answers
20260610_115359,1,Q1,Q1-A+B+C,9,"A,B,C:9"
20260610_115359,1,Q2,Q2-B+A,6,"B,A:6"
20260610_115359,1,Q3,Q3-C,9,C:9
20260610_115359,1,Q4,Q4-D,11,D:11
20260610_115359,2,Q1,Q1-A+B+C,9,"A,B,C:9"
20260610_115359,2,Q2,Q2-B+A,6,"B,A:6"
20260610_115359,2,Q3,Q3-C+B,9,"C,B:9"
20260610_115359,2,Q4,Q4-D+C,11,"D,C:11"
20260610_115359,3,Q1,Q1-A+B+C,9,"A,B,C:9"
20260610_115359,3,Q2,Q2-B+A,6,"B,A:6"
20260610_115359,3,Q3,Q3-C+B,9,"C,B:9"
20260610_115359,3,Q4,Q4-D+C,11,"D,C:11"
20260610_115626,1,Q1,Q1-A+B,63,"A,B:63"
20260610_115626,1,Q2,Q2-B+A+C,38,"B,A,C:38"
20260610_115626,1,Q3,Q3-C,33,C:33
20260610_115626,1,Q4,Q4-D,5,D:5
20260610_115626,2,Q1,Q1-A+B,63,"A,B:63"
20260610_115626,2,Q2,Q2-B+A+C,38,"B,A,C:38"
20260610_115626,2,Q3,Q3-C+B,33,"C,B:33"
20260610_115626,2,Q4,Q4-D,5,D:5
20260610_115806,1,Q1,Q1-A+B+C,84,"A,B,C:84"
20260610_115806,1,Q2,Q2-B,45,B:45
20260610_115806,1,Q3,Q3-C,82,C:82
20260610_115806,1,Q4,Q4-D,8,D:8
20260610_115912,1,Q1,Q1-A+B,7,"A,B:7"
20260610_115912,1,Q2,Q2-B+C,4,"B,C:4"
20260610_115912,1,Q3,Q3-C,82,C:82
20260610_115912,1,Q4,Q4-D,9,D:9
20260610_120017,1,Q1,Q1-A+B,82,"A,B:82"
20260610_120017,1,Q2,Q2-B,54,B:54
20260610_120017,1,Q3,Q3-C,48,C:48
20260610_120017,1,Q4,Q4-D,63,D:63
20260610_120131,1,Q1,Q1-A+B,24,"A,B:24"
20260610_120131,1,Q2,Q2-B,6,B:6
20260610_120131,1,Q3,Q3-C,73,C:73
20260610_120131,1,Q4,Q4-D,8,D:8
20260610_120208,1,Q1,Q1-A+B,90,"A,B:90"
20260610_120208,1,Q2,Q2-B,6,B:6
20260610_120208,1,Q3,Q3-C,60,C:60
20260610_120208,1,Q4,Q4-D,8,D:8
20260610_120238,1,Q1,Q1-A+B,29,"A,B:29"
20260610_120238,1,Q2,Q2-B,37,B:37
20260610_120238,1,Q3,Q3-C,66,C:66
20260610_120238,1,Q4,Q4-D,72,D:72
20260610_120256,1,Q1,Q1-A+B,80,"A,B:80"
20260610_120256,1,Q2,Q2-B,38,B:38
20260610_120256,1,Q3,Q3-C,11,C:11
20260610_120256,1,Q4,Q4-D,75,D:75
20260610_120314,1,Q1,Q1-A+B,36,"A,B:36"
20260610_120314,1,Q2,Q2-B,34,B:34
20260610_120314,1,Q3,Q3-C,36,C:36
20260610_120314,1,Q4,Q4-D,88,D:88
20260610_120329,1,Q1,Q1-A+B,8,"A,B:8"
20260610_120329,1,Q2,Q2-B,49,B:49
20260610_120329,1,Q3,Q3-C,76,C:76
20260610_120329,1,Q4,Q4-D,36,D:36
