game_id,round,question_id,capsule_label,correct_answer,player_answers
20260519_221826,1,Q1,Q1-A+B+C,24,"A,B,C:24"
20260519_221826,1,Q2,Q2-B+A,23,"B,A:23"
20260519_221826,1,Q3,Q3-C,7,C:7
20260519_221826,1,Q4,Q4-D,88,D:88
20260519_221826,2,Q1,Q1-A+B+C,24,"A,B,C:24"
20260519_221826,2,Q2,Q2-B+A,23,"B,A:23"
20260519_221826,2,Q3,Q3-C+B,7,"C,B:7"
20260519_221826,2,Q4,Q4-D+A+C,88,"D,A,C:88"
20260519_221826,3,Q1,Q1-A+B+C,24,"A,B,C:24"
20260519_221826,3,Q2,Q2-B+A,23,"B,A:23"
20260519_221826,3,Q3,Q3-C+B,7,"C,B:7"
20260519_221826,3,Q4,Q4-D+A+C,88,"D,A,C:88"
20260519_222007,1,Q1,Q1-A+B+C,9,"A,B,C:9"
20260519_222007,1,Q2,Q2-B+A,60,"B,A:60"
20260519_222007,1,Q3,Q3-C,73,C:73
20260519_222007,1,Q4,Q4-D,86,D:86
20260519_222007,2,Q1,Q1-A+B+C,9,"A,B,C:9"
20260519_222007,2,Q2,Q2-B+A,60,"B,A:60"
20260519_222007,2,Q3,Q3-C+A+B,73,"C,A,B:73"
20260519_222007,2,Q4,Q4-D,86,D:86
20260519_222007,3,Q1,Q1-A+B+C,9,"A,B,C:9"
20260519_222007,3,Q2,Q2-B+A,60,"B,A:60"
20260519_222007,3,Q3,Q3-C+A+B,73,"C,A,B:73"
20260519_222007,3,Q4,Q4-D,86,D:86
20260519_222056,1,Q1,Q1-A+B+C,79,"A,B,C:79"
20260519_222056,1,Q2,Q2-B+A,84,"B,A:84"
20260519_222056,1,Q3,Q3-C,18,C:18
20260519_222056,1,Q4,Q4-D,66,D:66
20260519_222056,2,Q1,Q1-A+B+C,79,"A,B,C:79"
20260519_222056,2,Q2,Q2-B+A,84,"B,A:84"
20260519_222056,2,Q3,Q3-C+B,18,"C,B:18"
20260519_222056,2,Q4,Q4-D+C,66,"D,C:66"
20260519_222056,3,Q1,Q1-A+B+C,79,"A,B,C:79"
20260519_222056,3,Q2,Q2-B+A,84,"B,A:84"
20260519_222056,3,Q3,Q3-C+B,18,"C,B:18"
20260519_222056,3,Q4,Q4-D+C,66,"D,C:66"
20260519_222144,1,Q1,Q1-A+B+C,9,"A,B,C:9"
20260519_222144,1,Q2,Q2-B+A,77,"B,A:77"
20260519_222144,1,Q3,Q3-C,8,C:8
20260519_222144,1,Q4,Q4-D,87,D:87
20260519_222144,2,Q1,Q1-A+B+C,9,"A,B,C:9"
20260519_222144,2,Q2,Q2-B+A,77,"B,A:77"
20260519_222144,2,Q3,Q3-C+A+B,8,"C,A,B:8"
20260519_222144,2,Q4,Q4-D,87,D:87
20260519_222144,3,Q1,Q1-A+B+C,9,"A,B,C:9"
20260519_222144,3,Q2,Q2-B+A,77,"B,A:77"
20260519_222144,3,Q3,Q3-C+A+B,8,"C,A,B:8"
20260519_222144,3,Q4,Q4-D+A,87,"D,A:87"
20260519_222144,4,Q1,Q1-A+B+C,9,"A,B,C:9"
20260519_222144,4,Q2,Q2-B+A,77,"B,A:77"
20260519_222144,4,Q3,Q3-C+A+B,8,"C,A,B:8"
20260519_222144,4,Q4,Q4-D+A,87,"D,A:87"
20260519_222231,1,Q1,Q1-A+B+C,88,"A,B,C:88"
20260519_222231,1,Q2,Q2-B+A,80,"B,A:80"
20260519_222231,1,Q3,Q3-C,8,C:8
20260519_222231,1,Q4,Q4-D,8,D:8
20260519_222231,2,Q1,Q1-A+B+C,88,"A,B,C:88"
20260519_222231,2,Q2,Q2-B+A,80,"B,A:80"
20260519_222231,2,Q3,Q3-C+A+B,8,"C,A,B:8"
20260519_222231,2,Q4,Q4-D,8,D:8
20260519_222231,3,Q1,Q1-A+B+C,88,"A,B,C:88"
20260519_222231,3,Q2,Q2-B+A,80,"B,A:80"
20260519_222231,3,Q3,Q3-C+A+B,8,"C,A,B:8"
20260519_222231,3,Q4,Q4-D+A,8,"D,A:8"
20260519_222231,4,Q1,Q1-A+B+C,88,"A,B,C:88"
20260519_222231,4,Q2,Q2-B+A,80,"B,A:80"
20260519_222231,4,Q3,Q3-C+A+B,8,"C,A,B:8"
20260519_222231,4,Q4,Q4-D+A,8,"D,A:8"
20260519_222320,1,Q1,Q1-A+B,48,"A,B:48"
20260519_222320,1,Q2,Q2-B+A,9,"B,A:9"
20260519_222320,1,Q3,Q3-C,34,C:34
20260519_222320,1,Q4,Q4-D,63,D:63
20260519_222358,1,Q1,Q1-A+B,45,"A,B:45"
20260519_222358,1,Q2,Q2-B+A,60,"B,A:60"
20260519_222358,1,Q3,Q3-C,11,C:11
20260519_222358,1,Q4,Q4-D,72,D:72
