game_id,round,question_id,capsule_label,correct_answer,player_answers
20260522_151721,1,Q1,Q1-A+B+C,11,"A,B,C:11"
20260522_151721,1,Q2,Q2-B+A,36,"B,A:36"
20260522_151721,1,Q3,Q3-C,84,C:84
20260522_151721,1,Q4,Q4-D,44,D:44
20260522_151721,2,Q1,Q1-A+B+C,11,"A,B,C:11"
20260522_151721,2,Q2,Q2-B+A,36,"B,A:36"
20260522_151721,2,Q3,Q3-C,84,C:84
20260522_151721,2,Q4,Q4-D,44,D:44
20260522_151836,1,Q1,Q1-A+B,11,"A,B:11"
20260522_151836,1,Q2,Q2-B,77,B:77
20260522_151836,1,Q3,Q3-C,34,C:34
20260522_151836,1,Q4,Q4-D,86,D:86
20260522_151916,1,Q1,Q1-A,24,A:24
20260522_151916,1,Q2,Q2-B,77,B:77
20260522_151916,1,Q3,Q3-C,56,C:56
20260522_151916,1,Q4,Q4-D,37,D:37
20260522_151952,1,Q1,Q1-A,80,A:80
20260522_151952,1,Q2,Q2-B,86,B:86
20260522_151952,1,Q3,Q3-C,70,C:70
20260522_151952,1,Q4,Q4-D,37,D:37
20260522_152031,1,Q1,Q1-A,88,A:88
20260522_152031,1,Q2,Q2-B,83,B:83
20260522_152031,1,Q3,Q3-C,48,C:48
20260522_152031,1,Q4,Q4-D,90,D:90
20260522_152112,1,Q1,Q1-A,34,A:34
20260522_152112,1,Q2,Q2-B,27,B:27
20260522_152112,1,Q3,Q3-C,84,C:84
20260522_152112,1,Q4,Q4-D,9,D:9
20260522_152150,1,Q1,Q1-A,66,A:66
20260522_152150,1,Q2,Q2-B,82,B:82
20260522_152150,1,Q3,Q3-C,60,C:60
20260522_152150,1,Q4,Q4-D,7,D:7
