game_id,agent_id,model,survived,was_winner,game_outcome,total_rounds,reflection
20251210_023113,A,openai/gpt-5.1,False,False,SUCCESS,2,[No reflection - reflection_mode is 'none']
20251210_023113,B,openai/gpt-5.1,True,True,SUCCESS,2,[No reflection - reflection_mode is 'none']
20251210_023113,C,openai/gpt-5.1,True,False,SUCCESS,2,[No reflection - reflection_mode is 'none']
20251210_023113,D,dummy,True,False,SUCCESS,2,[No reflection - reflection_mode is 'none']
20251210_023342,A,openai/gpt-5.1,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20251210_023342,B,openai/gpt-5.1,True,True,SUCCESS,1,[No reflection - reflection_mode is 'none']
20251210_023342,C,openai/gpt-5.1,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20251210_023342,D,dummy,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20251210_023548,A,openai/gpt-5.1,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20251210_023548,B,openai/gpt-5.1,True,True,SUCCESS,1,[No reflection - reflection_mode is 'none']
20251210_023548,C,openai/gpt-5.1,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20251210_023548,D,dummy,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20251210_023706,A,openai/gpt-5.1,True,True,SUCCESS,1,[No reflection - reflection_mode is 'none']
20251210_023706,B,openai/gpt-5.1,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20251210_023706,C,openai/gpt-5.1,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20251210_023706,D,dummy,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20251210_023955,A,openai/gpt-5.1,True,True,SUCCESS,1,[No reflection - reflection_mode is 'none']
20251210_023955,B,openai/gpt-5.1,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20251210_023955,C,openai/gpt-5.1,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20251210_023955,D,dummy,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20251210_024119,A,openai/gpt-5.1,True,True,SUCCESS,1,[No reflection - reflection_mode is 'none']
20251210_024119,B,openai/gpt-5.1,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20251210_024119,C,openai/gpt-5.1,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20251210_024119,D,dummy,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20251210_024257,A,openai/gpt-5.1,True,True,SUCCESS,1,[No reflection - reflection_mode is 'none']
20251210_024257,B,openai/gpt-5.1,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20251210_024257,C,openai/gpt-5.1,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20251210_024257,D,dummy,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20251210_024646,A,openai/gpt-5.1,True,True,SUCCESS,1,[No reflection - reflection_mode is 'none']
20251210_024646,B,openai/gpt-5.1,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20251210_024646,C,openai/gpt-5.1,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20251210_024646,D,dummy,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20251210_024832,A,openai/gpt-5.1,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20251210_024832,B,openai/gpt-5.1,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20251210_024832,C,openai/gpt-5.1,True,True,SUCCESS,1,[No reflection - reflection_mode is 'none']
20251210_024832,D,dummy,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20251210_025004,A,openai/gpt-5.1,True,True,SUCCESS,1,[No reflection - reflection_mode is 'none']
20251210_025004,B,openai/gpt-5.1,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20251210_025004,C,openai/gpt-5.1,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20251210_025004,D,dummy,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
