game_id,round,question_id,capsule_label,correct_answer,player_answers
20260521_162403,1,Q1,Q1-A+B+C,8,"A,B,C:8"
20260521_162403,1,Q2,Q2-B+A,88,"B,A:88"
20260521_162403,1,Q3,Q3-C,10,C:10
20260521_162403,1,Q4,Q4-D,38,D:wrong answer
20260521_162403,2,Q1,Q1-A+B+C,8,"A,B,C:8"
20260521_162403,2,Q2,Q2-B+A,88,"B,A:88"
20260521_162403,2,Q3,Q3-C+B,10,"C,B:10"
20260521_162403,2,Q4,Q4-D,38,D:wrong answer
20260521_162403,2,Q4,Q4-C,38,C:38
20260521_162403,3,Q1,Q1-A+B+C,8,"A,B,C:8"
20260521_162403,3,Q2,Q2-B+A,88,"B,A:88"
20260521_162403,3,Q3,Q3-C+B,10,"C,B:10"
20260521_162403,3,Q4,Q4-D,38,D:wrong answer
20260521_162403,3,Q4,Q4-C,38,C:38
20260521_162700,1,Q1,Q1-A+B,6,"A,B:6"
20260521_162700,1,Q2,Q2-B+A+C,84,"B,A,C:84"
20260521_162700,1,Q3,Q3-C,86,C:86
20260521_162700,1,Q4,Q4-D,8,D:8
20260521_162700,2,Q1,Q1-A+B,6,"A,B:6"
20260521_162700,2,Q2,Q2-B+A+C,84,"B,A,C:84"
20260521_162700,2,Q3,Q3-C+B,86,"C,B:86"
20260521_162700,2,Q4,Q4-D+C,8,"D,C:8"
20260521_162700,3,Q1,Q1-A+B,6,"A,B:6"
20260521_162700,3,Q2,Q2-B+A+C,84,"B,A,C:84"
20260521_162700,3,Q3,Q3-C+B,86,"C,B:86"
20260521_162700,3,Q4,Q4-D+C,8,"D,C:8"
20260521_162925,1,Q1,Q1-A+B,45,"A,B:45"
20260521_162925,1,Q2,Q2-B,37,B:37
20260521_162925,1,Q3,Q3-C,5,C:5
20260521_162925,1,Q4,Q4-D+C,7,"D,C:7"
20260521_163033,1,Q1,Q1-A+B,75,"A,B:75"
20260521_163033,1,Q2,Q2-B,39,B:39
20260521_163033,1,Q3,Q3-C,90,C:90
20260521_163033,1,Q4,Q4-D+C,75,"D,C:75"
20260521_163133,1,Q1,Q1-A+B,48,"A,B:48"
20260521_163133,1,Q2,Q2-B,72,B:72
20260521_163133,1,Q3,Q3-C,11,C:11
20260521_163133,1,Q4,Q4-D+C,84,"D,C:84"
20260521_163211,1,Q1,Q1-A+B,60,"A,B:60"
20260521_163211,1,Q2,Q2-B,39,B:39
20260521_163211,1,Q3,Q3-C,38,C:38
20260521_163211,1,Q4,Q4-D+C,8,"D,C:8"
20260521_163239,1,Q1,Q1-A+B,70,"A,B:70"
20260521_163239,1,Q2,Q2-B,61,B:61
20260521_163239,1,Q3,Q3-C,80,C:80
20260521_163239,1,Q4,Q4-D+C,60,"D,C:60"
20260521_163307,1,Q1,Q1-A+B,36,"A,B:36"
20260521_163307,1,Q2,Q2-B,77,B:77
20260521_163307,1,Q3,Q3-C,80,C:80
20260521_163307,1,Q4,Q4-D+C,75,"D,C:75"
20260521_163331,1,Q1,Q1-A+B,9,"A,B:9"
20260521_163331,1,Q2,Q2-B,11,B:11
20260521_163331,1,Q3,Q3-C,24,C:24
20260521_163331,1,Q4,Q4-D+C,24,"D,C:24"
20260521_163353,1,Q1,Q1-A+B,90,"A,B:90"
20260521_163353,1,Q2,Q2-B,29,B:29
20260521_163353,1,Q3,Q3-C,29,C:29
20260521_163353,1,Q4,Q4-D+C,18,"D,C:18"
20260521_163418,1,Q1,Q1-A+B,7,"A,B:7"
20260521_163418,1,Q2,Q2-B,66,B:66
20260521_163418,1,Q3,Q3-C,87,C:87
20260521_163418,1,Q4,Q4-D+C,23,"D,C:23"
