game_id,round,question_id,capsule_label,correct_answer,player_answers
20260521_144151,1,Q1,Q1-A+B+C,37,"A,B,C:37"
20260521_144151,1,Q2,Q2-B+A,43,"B,A:43"
20260521_144151,1,Q3,Q3-C,7,C:7
20260521_144151,1,Q4,Q4-D,5,D:wrong answer
20260521_144151,2,Q1,Q1-A+B+C,37,"A,B,C:37"
20260521_144151,2,Q2,Q2-B+A,43,"B,A:43"
20260521_144151,2,Q3,Q3-C,7,C:7
20260521_144151,2,Q4,Q4-D,5,D:wrong answer
20260521_144151,2,Q4,Q4-A+B+C,5,"A,B,C:5"
20260521_144151,3,Q1,Q1-A+B+C,37,"A,B,C:37"
20260521_144151,3,Q2,Q2-B+A,43,"B,A:43"
20260521_144151,3,Q3,Q3-C,7,C:7
20260521_144151,3,Q4,Q4-D,5,D:wrong answer
20260521_144151,3,Q4,Q4-A+B+C,5,"A,B,C:5"
20260521_144536,1,Q1,Q1-A+B+C,8,"A,B,C:8"
20260521_144536,1,Q2,Q2-B+A,7,"B,A:7"
20260521_144536,1,Q3,Q3-C,8,C:8
20260521_144536,1,Q4,Q4-D,6,D:6
20260521_144536,2,Q1,Q1-A+B+C,8,"A,B,C:8"
20260521_144536,2,Q2,Q2-B+A,7,"B,A:7"
20260521_144536,2,Q3,Q3-C,8,C:8
20260521_144536,2,Q4,Q4-D+A+B+C,6,"D,A,B,C:6"
20260521_144536,3,Q1,Q1-A+B+C,8,"A,B,C:8"
20260521_144536,3,Q2,Q2-B+A,7,"B,A:7"
20260521_144536,3,Q3,Q3-C,8,C:8
20260521_144536,3,Q4,Q4-D+A+B+C,6,"D,A,B,C:6"
20260521_144840,1,Q1,Q1-A+B+C,38,"A,B,C:38"
20260521_144840,1,Q2,Q2-B+A,80,"B,A:80"
20260521_144840,1,Q3,Q3-C,60,C:60
20260521_144840,1,Q4,Q4-D,34,D:34
20260521_144840,2,Q1,Q1-A+B+C,38,"A,B,C:38"
20260521_144840,2,Q2,Q2-B+A,80,"B,A:80"
20260521_144840,2,Q3,Q3-C,60,C:60
20260521_144840,2,Q4,Q4-D,34,D:34
20260521_145214,1,Q1,Q1-A+B+C,60,"A,B,C:60"
20260521_145214,1,Q2,Q2-B+A,48,"B,A:48"
20260521_145214,1,Q3,Q3-C,11,C:11
20260521_145214,1,Q4,Q4-D,8,D:8
20260521_145214,2,Q1,Q1-A+B+C,60,"A,B,C:60"
20260521_145214,2,Q2,Q2-B+A,48,"B,A:48"
20260521_145214,2,Q3,Q3-C,11,C:11
20260521_145214,2,Q4,Q4-D,8,D:8
20260521_145513,1,Q1,Q1-A+B,9,"A,B:9"
20260521_145513,1,Q2,Q2-B,77,B:77
20260521_145513,1,Q3,Q3-C,82,C:82
20260521_145513,1,Q4,Q4-D,7,D:7
20260521_145759,1,Q1,Q1-A+B,72,"A,B:72"
20260521_145759,1,Q2,Q2-B,45,B:45
20260521_145759,1,Q3,Q3-C,47,C:47
20260521_145759,1,Q4,Q4-D,48,D:48
20260521_145855,1,Q1,Q1-A+B,27,"A,B:27"
20260521_145855,1,Q2,Q2-B,72,B:72
20260521_145855,1,Q3,Q3-C,9,C:9
20260521_145855,1,Q4,Q4-D,61,D:61
20260521_145926,1,Q1,Q1-A+B,6,"A,B:6"
20260521_145926,1,Q2,Q2-B,87,B:87
20260521_145926,1,Q3,Q3-C,70,C:70
20260521_145926,1,Q4,Q4-D,33,D:33
20260521_150002,1,Q1,Q1-A+B,4,"A,B:4"
20260521_150002,1,Q2,Q2-B,66,B:66
20260521_150002,1,Q3,Q3-C,39,C:39
20260521_150002,1,Q4,Q4-D,6,D:6
20260521_150046,1,Q1,Q1-A+B,64,"A,B:64"
20260521_150046,1,Q2,Q2-B,10,B:10
20260521_150046,1,Q3,Q3-C,60,C:60
20260521_150046,1,Q4,Q4-D,79,D:79
20260521_150115,1,Q1,Q1-A+B,84,"A,B:84"
20260521_150115,1,Q2,Q2-B,23,B:23
20260521_150115,1,Q3,Q3-C,54,C:54
20260521_150115,1,Q4,Q4-D,39,D:39
