game_id,round,question_id,capsule_label,correct_answer,player_answers
20260520_032005,1,Q1,Q1-A+C,48,"A,C:48"
20260520_032005,1,Q2,Q2-B+A,34,"B,A:34"
20260520_032005,1,Q3,Q3-C+B,5,"C,B:5"
20260520_032005,1,Q4,Q4-D,43,D:wrong answer
20260520_032005,2,Q1,Q1-A+C,48,"A,C:48"
20260520_032005,2,Q2,Q2-B+A,34,"B,A:34"
20260520_032005,2,Q3,Q3-C+B,5,"C,B:5"
20260520_032005,2,Q4,Q4-D,43,D:wrong answer
20260520_032005,2,Q4,Q4-A+C,43,"A,C:43"
20260520_032005,3,Q1,Q1-A+C,48,"A,C:48"
20260520_032005,3,Q2,Q2-B+A,34,"B,A:34"
20260520_032005,3,Q3,Q3-C+B,5,"C,B:5"
20260520_032005,3,Q4,Q4-D,43,D:wrong answer
20260520_032005,3,Q4,Q4-A+C,43,"A,C:43"
20260520_032416,1,Q1,Q1-A+C,8,"A,C:8"
20260520_032416,1,Q2,Q2-B+A,47,"B,A:47"
20260520_032416,1,Q3,Q3-C,7,C:7
20260520_032416,1,Q4,Q4-D,73,D:wrong answer
20260520_032416,1,Q4,Q4-B,73,B:73
20260520_032416,2,Q1,Q1-A+C,8,"A,C:8"
20260520_032416,2,Q2,Q2-B+A,47,"B,A:47"
20260520_032416,2,Q3,Q3-C,7,C:7
20260520_032416,2,Q4,Q4-D,73,D:wrong answer
20260520_032416,2,Q4,Q4-B+C,73,"B,C:73"
20260520_032640,1,Q1,Q1-A+C,38,"A,C:38"
20260520_032640,1,Q2,Q2-B+A,63,"B,A:63"
20260520_032640,1,Q3,Q3-C,9,C:9
20260520_032640,1,Q4,Q4-D+B,84,"D,B:84"
20260520_032640,2,Q1,Q1-A+C,38,"A,C:38"
20260520_032640,2,Q2,Q2-B+A,63,"B,A:63"
20260520_032640,2,Q3,Q3-C+A,9,"C,A:9"
20260520_032640,2,Q4,Q4-D+B,84,"D,B:84"
20260520_032851,1,Q1,Q1-A+C,84,"A,C:84"
20260520_032851,1,Q2,Q2-B+A,36,"B,A:36"
20260520_032851,1,Q3,Q3-C,10,C:10
20260520_032851,1,Q4,Q4-D+B,9,"D,B:9"
20260520_032851,2,Q1,Q1-A+C,84,"A,C:84"
20260520_032851,2,Q2,Q2-B+A,36,"B,A:36"
20260520_032851,2,Q3,Q3-C+A,10,"C,A:10"
20260520_032851,2,Q4,Q4-D+B,9,"D,B:9"
20260520_033310,1,Q1,Q1-A+C,80,"A,C:80"
20260520_033310,1,Q2,Q2-B+A,4,"B,A:4"
20260520_033310,1,Q3,Q3-C,84,C:84
20260520_033310,1,Q4,Q4-D+B,49,"D,B:49"
20260520_033310,2,Q1,Q1-A+C,80,"A,C:80"
20260520_033310,2,Q2,Q2-B+A,4,"B,A:4"
20260520_033310,2,Q3,Q3-C+A,84,"C,A:84"
20260520_033310,2,Q4,Q4-D+B,49,"D,B:49"
20260520_033542,1,Q1,Q1-A+C,8,"A,C:8"
20260520_033542,1,Q2,Q2-B+A,37,"B,A:37"
20260520_033542,1,Q3,Q3-C,78,C:78
20260520_033542,1,Q4,Q4-D+B,64,"D,B:64"
20260520_033542,2,Q1,Q1-A+C,8,"A,C:8"
20260520_033542,2,Q2,Q2-B+A,37,"B,A:37"
20260520_033542,2,Q3,Q3-C,78,C:78
20260520_033542,2,Q4,Q4-D+B,64,"D,B:64"
20260520_033847,1,Q1,Q1-A+C,45,"A,C:45"
20260520_033847,1,Q2,Q2-B+A,83,"B,A:83"
20260520_033847,1,Q3,Q3-C,48,C:48
20260520_033847,1,Q4,Q4-D+B,66,"D,B:66"
20260520_033847,2,Q1,Q1-A+C,45,"A,C:45"
20260520_033847,2,Q2,Q2-B+A,83,"B,A:83"
20260520_033847,2,Q3,Q3-C+A,48,"C,A:48"
20260520_033847,2,Q4,Q4-D+B,66,"D,B:66"
20260520_034206,1,Q1,Q1-A,36,A:36
20260520_034206,1,Q2,Q2-B+A,6,"B,A:6"
20260520_034206,1,Q3,Q3-C,27,C:27
20260520_034206,1,Q4,Q4-D+B,5,"D,B:5"
20260520_034433,1,Q1,Q1-A,5,A:5
20260520_034433,1,Q2,Q2-B+A,37,"B,A:37"
20260520_034433,1,Q3,Q3-C,34,C:34
20260520_034433,1,Q4,Q4-D+B,54,"D,B:54"
20260520_034648,1,Q1,Q1-A,76,A:76
20260520_034648,1,Q2,Q2-B+A,86,"B,A:86"
20260520_034648,1,Q3,Q3-C,6,C:6
20260520_034648,1,Q4,Q4-D+B,84,"D,B:84"
20260520_034802,1,Q1,Q1-A,75,A:75
20260520_034802,1,Q2,Q2-B+A,88,"B,A:88"
20260520_034802,1,Q3,Q3-C,60,C:60
20260520_034802,1,Q4,Q4-D+B,72,"D,B:72"
