game_id,round,question_id,capsule_label,correct_answer,player_answers
20251210_023113,1,Q1,Q1-A+B+C,43,"A,B,C:43"
20251210_023113,1,Q2,Q2-B+A,27,"B,A:27"
20251210_023113,1,Q3,Q3-C,84,C:84
20251210_023113,1,Q4,Q4-D,64,D:64
20251210_023113,2,Q1,Q1-A+B+C,43,"A,B,C:43"
20251210_023113,2,Q2,Q2-B+A,27,"B,A:27"
20251210_023113,2,Q3,Q3-C,84,C:84
20251210_023113,2,Q4,Q4-D,64,D:64
20251210_023342,1,Q1,Q1-A,80,A:80
20251210_023342,1,Q2,Q2-B,45,B:45
20251210_023342,1,Q3,Q3-C,9,C:9
20251210_023342,1,Q4,Q4-D,84,D:84
20251210_023548,1,Q1,Q1-A,75,A:75
20251210_023548,1,Q2,Q2-B,24,B:24
20251210_023548,1,Q3,Q3-C,77,C:77
20251210_023548,1,Q4,Q4-D,44,D:44
20251210_023706,1,Q1,Q1-A,36,A:36
20251210_023706,1,Q2,Q2-B,37,B:37
20251210_023706,1,Q3,Q3-C,76,C:76
20251210_023706,1,Q4,Q4-D,34,D:34
20251210_023955,1,Q1,Q1-A,66,A:66
20251210_023955,1,Q2,Q2-B,9,B:9
20251210_023955,1,Q3,Q3-C,36,C:36
20251210_023955,1,Q4,Q4-D,37,D:37
20251210_024119,1,Q1,Q1-A,8,A:8
20251210_024119,1,Q2,Q2-B,8,B:8
20251210_024119,1,Q3,Q3-C,47,C:47
20251210_024119,1,Q4,Q4-D,43,D:43
20251210_024257,1,Q1,Q1-A,45,A:45
20251210_024257,1,Q2,Q2-B,8,B:8
20251210_024257,1,Q3,Q3-C,37,C:37
20251210_024257,1,Q4,Q4-D,8,D:8
20251210_024646,1,Q1,Q1-A,72,A:72
20251210_024646,1,Q2,Q2-B,82,B:82
20251210_024646,1,Q3,Q3-C,63,C:63
20251210_024646,1,Q4,Q4-D,6,D:6
20251210_024832,1,Q1,Q1-A,39,A:39
20251210_024832,1,Q2,Q2-B,90,B:90
20251210_024832,1,Q3,Q3-C,73,C:73
20251210_024832,1,Q4,Q4-D,38,D:38
20251210_025004,1,Q1,Q1-A,90,A:90
20251210_025004,1,Q2,Q2-B,8,B:8
20251210_025004,1,Q3,Q3-C,86,C:86
20251210_025004,1,Q4,Q4-D,4,D:4
