folder,model,scenario,game_id,agent_id,category,rel_count,proc_count,text_len
ablation_reflection_opus_adaptive_refl_recovery_20260520_003419,claude-opus-4-6,recovery,20260520_003419,A,RELATIONAL,13,6,1933
ablation_reflection_opus_adaptive_refl_recovery_20260520_003419,claude-opus-4-6,recovery,20260520_003419,B,PROCEDURAL,3,7,2033
ablation_reflection_opus_adaptive_refl_recovery_20260520_003419,claude-opus-4-6,recovery,20260520_003419,C,RELATIONAL,6,2,1977
ablation_reflection_opus_adaptive_refl_recovery_20260520_003419,claude-opus-4-6,recovery,20260520_003810,A,PROCEDURAL,2,3,2056
ablation_reflection_opus_adaptive_refl_recovery_20260520_003419,claude-opus-4-6,recovery,20260520_003810,B,PROCEDURAL,1,2,1997
ablation_reflection_opus_adaptive_refl_recovery_20260520_003419,claude-opus-4-6,recovery,20260520_003810,C,RELATIONAL,3,1,2158
ablation_reflection_opus_adaptive_refl_recovery_20260520_003419,claude-opus-4-6,recovery,20260520_004038,A,RELATIONAL,5,3,2086
ablation_reflection_opus_adaptive_refl_recovery_20260520_003419,claude-opus-4-6,recovery,20260520_004038,B,RELATIONAL,3,2,2066
ablation_reflection_opus_adaptive_refl_recovery_20260520_003419,claude-opus-4-6,recovery,20260520_004038,C,PROCEDURAL,1,4,2126
ablation_reflection_opus_adaptive_refl_recovery_20260520_003419,claude-opus-4-6,recovery,20260520_004201,A,RELATIONAL,3,1,2006
ablation_reflection_opus_adaptive_refl_recovery_20260520_003419,claude-opus-4-6,recovery,20260520_004201,B,MIXED,4,3,1986
ablation_reflection_opus_adaptive_refl_recovery_20260520_003419,claude-opus-4-6,recovery,20260520_004201,C,PROCEDURAL,2,5,2107
ablation_reflection_opus_adaptive_refl_recovery_20260520_003419,claude-opus-4-6,recovery,20260520_004307,A,RELATIONAL,3,2,2084
ablation_reflection_opus_adaptive_refl_recovery_20260520_003419,claude-opus-4-6,recovery,20260520_004307,B,RELATIONAL,5,2,1976
ablation_reflection_opus_adaptive_refl_recovery_20260520_003419,claude-opus-4-6,recovery,20260520_004307,C,PROCEDURAL,2,4,1999
ablation_reflection_opus_adaptive_refl_recovery_20260520_003419,claude-opus-4-6,recovery,20260520_004357,A,MIXED,3,3,2020
ablation_reflection_opus_adaptive_refl_recovery_20260520_003419,claude-opus-4-6,recovery,20260520_004357,B,MIXED,4,3,1851
ablation_reflection_opus_adaptive_refl_recovery_20260520_003419,claude-opus-4-6,recovery,20260520_004357,C,PROCEDURAL,2,5,1955
ablation_reflection_opus_adaptive_refl_recovery_20260520_003419,claude-opus-4-6,recovery,20260520_004448,A,PROCEDURAL,2,3,1979
ablation_reflection_opus_adaptive_refl_recovery_20260520_003419,claude-opus-4-6,recovery,20260520_004448,B,MIXED,4,3,1935
ablation_reflection_opus_adaptive_refl_recovery_20260520_003419,claude-opus-4-6,recovery,20260520_004448,C,PROCEDURAL,2,3,1883
ablation_reflection_opus_adaptive_refl_recovery_20260520_003419,claude-opus-4-6,recovery,20260520_004551,A,MIXED,3,4,1932
ablation_reflection_opus_adaptive_refl_recovery_20260520_003419,claude-opus-4-6,recovery,20260520_004551,B,RELATIONAL,2,1,1831
ablation_reflection_opus_adaptive_refl_recovery_20260520_003419,claude-opus-4-6,recovery,20260520_004551,C,MIXED,3,3,1921
ablation_reflection_opus_adaptive_refl_recovery_20260520_003419,claude-opus-4-6,recovery,20260520_004635,A,RELATIONAL,3,1,1836
ablation_reflection_opus_adaptive_refl_recovery_20260520_003419,claude-opus-4-6,recovery,20260520_004635,B,RELATIONAL,6,3,1791
ablation_reflection_opus_adaptive_refl_recovery_20260520_003419,claude-opus-4-6,recovery,20260520_004635,C,RELATIONAL,5,1,2004
ablation_reflection_opus_adaptive_refl_recovery_20260520_003419,claude-opus-4-6,recovery,20260520_004723,A,MIXED,3,4,1993
ablation_reflection_opus_adaptive_refl_recovery_20260520_003419,claude-opus-4-6,recovery,20260520_004723,B,RELATIONAL,6,1,1746
ablation_reflection_opus_adaptive_refl_recovery_20260520_003419,claude-opus-4-6,recovery,20260520_004723,C,RELATIONAL,6,2,2066
ablation_reflection_opus_adaptive_refl_recovery_20260520_003419,claude-opus-4-6,recovery,20260520_004810,A,RELATIONAL,5,2,2073
ablation_reflection_opus_adaptive_refl_recovery_20260520_003419,claude-opus-4-6,recovery,20260520_004810,B,RELATIONAL,6,1,1881
ablation_reflection_opus_adaptive_refl_recovery_20260520_003419,claude-opus-4-6,recovery,20260520_004810,C,RELATIONAL,5,1,2054
rough_start_high_reflection_max_20251209_011228,gpt5.1-high,recovery,20251209_011228,A,RELATIONAL,4,2,1678
rough_start_high_reflection_max_20251209_011228,gpt5.1-high,recovery,20251209_011228,B,PROCEDURAL,0,3,1432
rough_start_high_reflection_max_20251209_011228,gpt5.1-high,recovery,20251209_011228,C,RELATIONAL,5,1,1681
rough_start_high_reflection_max_20251209_011228,gpt5.1-high,recovery,20251209_012030,A,MIXED,2,2,1699
rough_start_high_reflection_max_20251209_011228,gpt5.1-high,recovery,20251209_012030,B,MIXED,5,4,1659
rough_start_high_reflection_max_20251209_011228,gpt5.1-high,recovery,20251209_012030,C,RELATIONAL,7,1,1628
rough_start_high_reflection_max_20251209_011228,gpt5.1-high,recovery,20251209_012344,A,RELATIONAL,2,1,1675
rough_start_high_reflection_max_20251209_011228,gpt5.1-high,recovery,20251209_012344,B,MIXED,3,3,1699
rough_start_high_reflection_max_20251209_011228,gpt5.1-high,recovery,20251209_012344,C,RELATIONAL,5,1,1651
rough_start_high_reflection_max_20251209_011228,gpt5.1-high,recovery,20251209_012654,A,MIXED,1,1,1709
rough_start_high_reflection_max_20251209_011228,gpt5.1-high,recovery,20251209_012654,B,MIXED,2,2,1653
rough_start_high_reflection_max_20251209_011228,gpt5.1-high,recovery,20251209_012654,C,RELATIONAL,5,1,1553
rough_start_high_reflection_max_20251209_011228,gpt5.1-high,recovery,20251209_013057,A,PROCEDURAL,1,3,1665
rough_start_high_reflection_max_20251209_011228,gpt5.1-high,recovery,20251209_013057,B,RELATIONAL,3,0,1608
rough_start_high_reflection_max_20251209_011228,gpt5.1-high,recovery,20251209_013057,C,RELATIONAL,5,3,1568
rough_start_high_reflection_max_20251209_011228,gpt5.1-high,recovery,20251209_013312,A,RELATIONAL,2,0,1875
rough_start_high_reflection_max_20251209_011228,gpt5.1-high,recovery,20251209_013312,B,MIXED,2,2,1577
rough_start_high_reflection_max_20251209_011228,gpt5.1-high,recovery,20251209_013312,C,RELATIONAL,3,2,1567
rough_start_high_reflection_max_20251209_011228,gpt5.1-high,recovery,20251209_013556,A,RELATIONAL,2,1,1544
rough_start_high_reflection_max_20251209_011228,gpt5.1-high,recovery,20251209_013556,B,RELATIONAL,2,1,1485
rough_start_high_reflection_max_20251209_011228,gpt5.1-high,recovery,20251209_013556,C,RELATIONAL,5,1,1583
rough_start_high_reflection_max_20251209_011228,gpt5.1-high,recovery,20251209_013818,A,RELATIONAL,4,2,1487
rough_start_high_reflection_max_20251209_011228,gpt5.1-high,recovery,20251209_013818,B,MIXED,2,2,1485
rough_start_high_reflection_max_20251209_011228,gpt5.1-high,recovery,20251209_013818,C,RELATIONAL,6,1,1510
rough_start_high_reflection_max_20251209_011228,gpt5.1-high,recovery,20251209_014020,A,RELATIONAL,2,0,1319
rough_start_high_reflection_max_20251209_011228,gpt5.1-high,recovery,20251209_014020,B,RELATIONAL,2,0,1505
rough_start_high_reflection_max_20251209_011228,gpt5.1-high,recovery,20251209_014020,C,RELATIONAL,6,1,1606
rough_start_high_reflection_max_20251209_011228,gpt5.1-high,recovery,20251209_014246,A,RELATIONAL,1,0,1447
rough_start_high_reflection_max_20251209_011228,gpt5.1-high,recovery,20251209_014246,B,RELATIONAL,4,1,1702
rough_start_high_reflection_max_20251209_011228,gpt5.1-high,recovery,20251209_014246,C,RELATIONAL,3,0,1677
rough_start_high_reflection_max_20251209_011228,gpt5.1-high,recovery,20251209_014530,A,RELATIONAL,1,0,1358
rough_start_high_reflection_max_20251209_011228,gpt5.1-high,recovery,20251209_014530,B,RELATIONAL,3,1,1574
rough_start_high_reflection_max_20251209_011228,gpt5.1-high,recovery,20251209_014530,C,RELATIONAL,3,0,1594
rough_start_high_reflection_max_20251209_020902,gpt5.1-high,recovery,20251209_020902,A,PROCEDURAL,2,3,1805
rough_start_high_reflection_max_20251209_020902,gpt5.1-high,recovery,20251209_020902,B,RELATIONAL,8,2,1788
rough_start_high_reflection_max_20251209_020902,gpt5.1-high,recovery,20251209_020902,C,RELATIONAL,4,1,1487
rough_start_high_reflection_max_20251209_020902,gpt5.1-high,recovery,20251209_022311,A,MIXED,2,2,1598
rough_start_high_reflection_max_20251209_020902,gpt5.1-high,recovery,20251209_022311,B,RELATIONAL,7,1,1745
rough_start_high_reflection_max_20251209_020902,gpt5.1-high,recovery,20251209_022311,C,RELATIONAL,3,1,1519
rough_start_high_reflection_max_20251209_020902,gpt5.1-high,recovery,20251209_022718,A,PROCEDURAL,1,4,1578
rough_start_high_reflection_max_20251209_020902,gpt5.1-high,recovery,20251209_022718,B,RELATIONAL,2,0,1680
rough_start_high_reflection_max_20251209_020902,gpt5.1-high,recovery,20251209_022718,C,MIXED,3,4,1574
rough_start_high_reflection_max_20251209_020902,gpt5.1-high,recovery,20251209_023017,A,MIXED,3,3,1638
rough_start_high_reflection_max_20251209_020902,gpt5.1-high,recovery,20251209_023017,B,RELATIONAL,2,1,1755
rough_start_high_reflection_max_20251209_020902,gpt5.1-high,recovery,20251209_023017,C,MIXED,4,3,1557
rough_start_high_reflection_max_20251209_020902,gpt5.1-high,recovery,20251209_023424,A,MIXED,3,3,1739
rough_start_high_reflection_max_20251209_020902,gpt5.1-high,recovery,20251209_023424,B,RELATIONAL,6,1,1689
rough_start_high_reflection_max_20251209_020902,gpt5.1-high,recovery,20251209_023424,C,RELATIONAL,3,2,1545
rough_start_high_reflection_max_20251209_020902,gpt5.1-high,recovery,20251209_023845,A,MIXED,2,2,1721
rough_start_high_reflection_max_20251209_020902,gpt5.1-high,recovery,20251209_023845,B,RELATIONAL,3,0,1884
rough_start_high_reflection_max_20251209_020902,gpt5.1-high,recovery,20251209_023845,C,RELATIONAL,6,1,1653
