game_id,round,question_id,capsule_label,correct_answer,player_answers
20260531_104026,1,Q1,Q1-A+B+C,45,"A,B,C:45"
20260531_104026,1,Q2,Q2-B+A,11,"B,A:11"
20260531_104026,1,Q3,Q3-C,45,C:45
20260531_104026,1,Q4,Q4-D,88,D:88
20260531_104026,2,Q1,Q1-A+B+C,45,"A,B,C:45"
20260531_104026,2,Q2,Q2-B+A,11,"B,A:11"
20260531_104026,2,Q3,Q3-C+B,45,"C,B:45"
20260531_104026,2,Q4,Q4-D+C,88,"D,C:88"
20260531_104026,3,Q1,Q1-A+B+C,45,"A,B,C:45"
20260531_104026,3,Q2,Q2-B+A,11,"B,A:11"
20260531_104026,3,Q3,Q3-C+B,45,"C,B:45"
20260531_104026,3,Q4,Q4-D+C,88,"D,C:88"
20260531_104300,1,Q1,Q1-A+B,60,"A,B:60"
20260531_104300,1,Q2,Q2-B+A+C,83,"B,A,C:83"
20260531_104300,1,Q3,Q3-C,43,C:43
20260531_104300,1,Q4,Q4-D,84,D:84
20260531_104300,2,Q1,Q1-A+B,60,"A,B:60"
20260531_104300,2,Q2,Q2-B+A+C,83,"B,A,C:83"
20260531_104300,2,Q3,Q3-C,43,C:43
20260531_104300,2,Q4,Q4-D+C,84,"D,C:84"
20260531_104500,1,Q1,Q1-A+B,60,"A,B:60"
20260531_104500,1,Q2,Q2-B+A,37,"B,A:37"
20260531_104500,1,Q3,Q3-C,66,C:66
20260531_104500,1,Q4,Q4-D+C,90,"D,C:90"
20260531_104500,2,Q1,Q1-A+B,60,"A,B:60"
20260531_104500,2,Q2,Q2-B+A,37,"B,A:37"
20260531_104500,2,Q3,Q3-C,66,C:66
20260531_104500,2,Q4,Q4-D+C,90,"D,C:90"
20260531_104754,1,Q1,Q1-A,82,A:82
20260531_104754,1,Q2,Q2-B,10,B:10
20260531_104754,1,Q3,Q3-C,38,C:38
20260531_104754,1,Q4,Q4-D,66,D:wrong answer
20260531_104754,1,Q4,Q4-C,66,C:66
20260531_104754,2,Q1,Q1-A+C,82,"A,C:82"
20260531_104754,2,Q2,Q2-B,10,B:10
20260531_104754,2,Q3,Q3-C,38,C:38
20260531_104754,2,Q4,Q4-D,66,D:wrong answer
20260531_104754,2,Q4,Q4-C+A,66,"C,A:66"
20260531_104754,3,Q1,Q1-A+C,82,"A,C:82"
20260531_104754,3,Q2,Q2-B,10,B:10
20260531_104754,3,Q3,Q3-C,38,C:38
20260531_104754,3,Q4,Q4-D,66,D:wrong answer
20260531_104754,3,Q4,Q4-C+A,66,"C,A:66"
20260531_105340,1,Q1,Q1-A+B,9,"A,B:9"
20260531_105340,1,Q2,Q2-B,88,B:88
20260531_105340,1,Q3,Q3-C,5,C:5
20260531_105340,1,Q4,Q4-D,36,D:wrong answer
20260531_105340,1,Q4,Q4-A+C,36,"A,C:36"
20260531_105340,2,Q1,Q1-A+B,9,"A,B:9"
20260531_105340,2,Q2,Q2-B,88,B:88
20260531_105340,2,Q3,Q3-C,5,C:5
20260531_105340,2,Q4,Q4-D,36,D:wrong answer
20260531_105340,2,Q4,Q4-A+C,36,"A,C:36"
20260531_105804,1,Q1,Q1-A,84,A:84
20260531_105804,1,Q2,Q2-B,82,B:82
20260531_105804,1,Q3,Q3-C,39,C:39
20260531_105804,1,Q4,Q4-D+A+B+C,11,"D,A,B,C:11"
20260531_105804,2,Q1,Q1-A,84,A:84
20260531_105804,2,Q2,Q2-B,82,B:82
20260531_105804,2,Q3,Q3-C,39,C:39
20260531_105804,2,Q4,Q4-D+A+B+C,11,"D,A,B,C:11"
20260531_110221,1,Q1,Q1-A,63,A:63
20260531_110221,1,Q2,Q2-B,82,B:82
20260531_110221,1,Q3,Q3-C,6,C:6
20260531_110221,1,Q4,Q4-D+C,34,"D,C:34"
20260531_110526,1,Q1,Q1-A,4,A:4
20260531_110526,1,Q2,Q2-B,72,B:72
20260531_110526,1,Q3,Q3-C,8,C:8
20260531_110526,1,Q4,Q4-D+C,80,"D,C:80"
20260531_110631,1,Q1,Q1-A,77,A:77
20260531_110631,1,Q2,Q2-B,27,B:27
20260531_110631,1,Q3,Q3-C,43,C:43
20260531_110631,1,Q4,Q4-D+C,84,"D,C:84"
20260531_110714,1,Q1,Q1-A,79,A:79
20260531_110714,1,Q2,Q2-B,47,B:47
20260531_110714,1,Q3,Q3-C,90,C:90
20260531_110714,1,Q4,Q4-D+C,9,"D,C:9"
20260531_110745,1,Q1,Q1-A,24,A:24
20260531_110745,1,Q2,Q2-B,11,B:11
20260531_110745,1,Q3,Q3-C,6,C:6
20260531_110745,1,Q4,Q4-D+C,87,"D,C:87"
