game_id,round,question_id,capsule_label,correct_answer,player_answers
20260519_233314,1,Q1,Q1-A,75,A:75
20260519_233314,1,Q2,Q2-B,5,B:5
20260519_233314,1,Q3,Q3-C,60,C:60
20260519_233314,1,Q4,Q4-D,29,D:wrong answer
20260519_233314,2,Q1,Q1-A+B,75,"A,B:75"
20260519_233314,2,Q2,Q2-B+C,5,"B,C:5"
20260519_233314,2,Q3,Q3-C,60,C:60
20260519_233314,2,Q4,Q4-D,29,D:wrong answer
20260519_233314,3,Q1,Q1-A+B,75,"A,B:75"
20260519_233314,3,Q2,Q2-B+C,5,"B,C:5"
20260519_233314,3,Q3,Q3-C,60,C:60
20260519_233314,3,Q4,Q4-D,29,D:wrong answer
20260519_233314,4,Q1,Q1-A+B,75,"A,B:75"
20260519_233314,4,Q2,Q2-B+C,5,"B,C:5"
20260519_233314,4,Q3,Q3-C,60,C:60
20260519_233314,4,Q4,Q4-D,29,D:wrong answer
20260519_233527,1,Q1,Q1-A,78,A:78
20260519_233527,1,Q2,Q2-B+C,82,"B,C:82"
20260519_233527,1,Q3,Q3-C,61,C:61
20260519_233527,1,Q4,Q4-D,44,D:44
20260519_233527,2,Q1,Q1-A+B,78,"A,B:78"
20260519_233527,2,Q2,Q2-B+C,82,"B,C:82"
20260519_233527,2,Q3,Q3-C,61,C:61
20260519_233527,2,Q4,Q4-D+C,44,"D,C:44"
20260519_233527,3,Q1,Q1-A+B,78,"A,B:78"
20260519_233527,3,Q2,Q2-B+C,82,"B,C:82"
20260519_233527,3,Q3,Q3-C+B,61,"C,B:61"
20260519_233527,3,Q4,Q4-D+C,44,"D,C:44"
20260519_233853,1,Q1,Q1-A+B,23,"A,B:23"
20260519_233853,1,Q2,Q2-B+A+C,6,"B,A,C:6"
20260519_233853,1,Q3,Q3-C,88,C:88
20260519_233853,1,Q4,Q4-D,80,D:80
20260519_233853,2,Q1,Q1-A+B,23,"A,B:23"
20260519_233853,2,Q2,Q2-B+A+C,6,"B,A,C:6"
20260519_233853,2,Q3,Q3-C+B,88,"C,B:88"
20260519_233853,2,Q4,Q4-D+C,80,"D,C:80"
20260519_233853,3,Q1,Q1-A+B,23,"A,B:23"
20260519_233853,3,Q2,Q2-B+A+C,6,"B,A,C:6"
20260519_233853,3,Q3,Q3-C+B,88,"C,B:88"
20260519_233853,3,Q4,Q4-D+C,80,"D,C:80"
20260519_234125,1,Q1,Q1-A+B,72,"A,B:72"
20260519_234125,1,Q2,Q2-B+A+C,63,"B,A,C:63"
20260519_234125,1,Q3,Q3-C,63,C:63
20260519_234125,1,Q4,Q4-D,47,D:47
20260519_234125,2,Q1,Q1-A+B,72,"A,B:72"
20260519_234125,2,Q2,Q2-B+A+C,63,"B,A,C:63"
20260519_234125,2,Q3,Q3-C+B,63,"C,B:63"
20260519_234125,2,Q4,Q4-D,47,D:47
20260519_234412,1,Q1,Q1-A+B,45,"A,B:45"
20260519_234412,1,Q2,Q2-B+A+C,36,"B,A,C:36"
20260519_234412,1,Q3,Q3-C,79,C:79
20260519_234412,1,Q4,Q4-D,60,D:60
20260519_234412,2,Q1,Q1-A+B,45,"A,B:45"
20260519_234412,2,Q2,Q2-B+A+C,36,"B,A,C:36"
20260519_234412,2,Q3,Q3-C,79,C:79
20260519_234412,2,Q4,Q4-D,60,D:60
20260519_234659,1,Q1,Q1-A+B,38,"A,B:38"
20260519_234659,1,Q2,Q2-B+A+C,48,"B,A,C:48"
20260519_234659,1,Q3,Q3-C,10,C:10
20260519_234659,1,Q4,Q4-D,5,D:5
20260519_234659,2,Q1,Q1-A+B,38,"A,B:38"
20260519_234659,2,Q2,Q2-B+A+C,48,"B,A,C:48"
20260519_234659,2,Q3,Q3-C,10,C:10
20260519_234659,2,Q4,Q4-D,5,D:5
20260519_234913,1,Q1,Q1-A+B,9,"A,B:9"
20260519_234913,1,Q2,Q2-B+A+C,11,"B,A,C:11"
20260519_234913,1,Q3,Q3-C,36,C:36
20260519_234913,1,Q4,Q4-D,7,D:7
20260519_234913,2,Q1,Q1-A+B,9,"A,B:9"
20260519_234913,2,Q2,Q2-B+A+C,11,"B,A,C:11"
20260519_234913,2,Q3,Q3-C+B,36,"C,B:36"
20260519_234913,2,Q4,Q4-D,7,D:7
20260519_235036,1,Q1,Q1-A+B,11,"A,B:11"
20260519_235036,1,Q2,Q2-B+C,72,"B,C:72"
20260519_235036,1,Q3,Q3-C,77,C:77
20260519_235036,1,Q4,Q4-D,37,D:37
20260519_235200,1,Q1,Q1-A+B,4,"A,B:4"
20260519_235200,1,Q2,Q2-B+C,49,"B,C:49"
20260519_235200,1,Q3,Q3-C,47,C:47
20260519_235200,1,Q4,Q4-D,37,D:37
20260519_235250,1,Q1,Q1-A+B,34,"A,B:34"
20260519_235250,1,Q2,Q2-B,84,B:84
20260519_235250,1,Q3,Q3-C,11,C:11
20260519_235250,1,Q4,Q4-D,8,D:8
20260519_235331,1,Q1,Q1-A+B,82,"A,B:82"
20260519_235331,1,Q2,Q2-B,5,B:5
20260519_235331,1,Q3,Q3-C,60,C:60
20260519_235331,1,Q4,Q4-D,60,D:60
