game_id,round,question_id,capsule_label,correct_answer,player_answers
20260520_022807,1,Q1,Q1-A+B+C,43,"A,B,C:43"
20260520_022807,1,Q2,Q2-B+A,8,"B,A:8"
20260520_022807,1,Q3,Q3-C,66,C:66
20260520_022807,1,Q4,Q4-D,6,D:wrong answer
20260520_022807,2,Q1,Q1-A+B+C,43,"A,B,C:43"
20260520_022807,2,Q2,Q2-B+A+C,8,"B,A,C:8"
20260520_022807,2,Q3,Q3-C+B,66,"C,B:66"
20260520_022807,2,Q4,Q4-D,6,D:wrong answer
20260520_022807,3,Q1,Q1-A+B+C,43,"A,B,C:43"
20260520_022807,3,Q2,Q2-B+A+C,8,"B,A,C:8"
20260520_022807,3,Q3,Q3-C+B,66,"C,B:66"
20260520_022807,3,Q4,Q4-D,6,D:wrong answer
20260520_022807,3,Q4,Q4-B,6,B:6
20260520_022807,4,Q1,Q1-A+B+C,43,"A,B,C:43"
20260520_022807,4,Q2,Q2-B+A+C,8,"B,A,C:8"
20260520_022807,4,Q3,Q3-C+B,66,"C,B:66"
20260520_022807,4,Q4,Q4-D,6,D:wrong answer
20260520_022807,4,Q4,Q4-B,6,B:6
20260520_022917,1,Q1,Q1-A+B+C,27,"A,B,C:27"
20260520_022917,1,Q2,Q2-B+A,11,"B,A:11"
20260520_022917,1,Q3,Q3-C,37,C:37
20260520_022917,1,Q4,Q4-D,86,D:86
20260520_022917,2,Q1,Q1-A+B+C,27,"A,B,C:27"
20260520_022917,2,Q2,Q2-B+A,11,"B,A:11"
20260520_022917,2,Q3,Q3-C+A,37,"C,A:37"
20260520_022917,2,Q4,Q4-D+B+C,86,"D,B,C:86"
20260520_022917,3,Q1,Q1-A+B+C,27,"A,B,C:27"
20260520_022917,3,Q2,Q2-B+A+C,11,"B,A,C:11"
20260520_022917,3,Q3,Q3-C+A,37,"C,A:37"
20260520_022917,3,Q4,Q4-D+B+C,86,"D,B,C:86"
20260520_023047,1,Q1,Q1-A+B+C,82,"A,B,C:82"
20260520_023047,1,Q2,Q2-B+A,61,"B,A:61"
20260520_023047,1,Q3,Q3-C,84,C:84
20260520_023047,1,Q4,Q4-D,84,D:84
20260520_023047,2,Q1,Q1-A+B+C,82,"A,B,C:82"
20260520_023047,2,Q2,Q2-B+A+C,61,"B,A,C:61"
20260520_023047,2,Q3,Q3-C+B,84,"C,B:84"
20260520_023047,2,Q4,Q4-D,84,D:84
20260520_023047,3,Q1,Q1-A+B+C,82,"A,B,C:82"
20260520_023047,3,Q2,Q2-B+A+C,61,"B,A,C:61"
20260520_023047,3,Q3,Q3-C+B,84,"C,B:84"
20260520_023047,3,Q4,Q4-D+C,84,"D,C:84"
20260520_023047,4,Q1,Q1-A+B+C,82,"A,B,C:82"
20260520_023047,4,Q2,Q2-B+A+C,61,"B,A,C:61"
20260520_023047,4,Q3,Q3-C+B,84,"C,B:84"
20260520_023047,4,Q4,Q4-D+C,84,"D,C:84"
20260520_023154,1,Q1,Q1-A+B+C,38,"A,B,C:38"
20260520_023154,1,Q2,Q2-B,86,B:86
20260520_023154,1,Q3,Q3-C,9,C:9
20260520_023154,1,Q4,Q4-D,86,D:86
20260520_023154,2,Q1,Q1-A+B+C,38,"A,B,C:38"
20260520_023154,2,Q2,Q2-B+A,86,"B,A:86"
20260520_023154,2,Q3,Q3-C,9,C:9
20260520_023154,2,Q4,Q4-D+B+C,86,"D,B,C:86"
20260520_023154,3,Q1,Q1-A+B+C,38,"A,B,C:38"
20260520_023154,3,Q2,Q2-B+A+C,86,"B,A,C:86"
20260520_023154,3,Q3,Q3-C+B,9,"C,B:9"
20260520_023154,3,Q4,Q4-D+B+C,86,"D,B,C:86"
20260520_023154,4,Q1,Q1-A+B+C,38,"A,B,C:38"
20260520_023154,4,Q2,Q2-B+A+C,86,"B,A,C:86"
20260520_023154,4,Q3,Q3-C+B,9,"C,B:9"
20260520_023154,4,Q4,Q4-D+B+C,86,"D,B,C:86"
20260520_023354,1,Q1,Q1-A+B+C,83,"A,B,C:83"
20260520_023354,1,Q2,Q2-B+A,60,"B,A:60"
