game_id,round,question_id,capsule_label,correct_answer,player_answers
20260608_131046,1,Q1,Q1-A+B+C,5,"A,B,C:5"
20260608_131046,1,Q2,Q2-B+A,90,"B,A:90"
20260608_131046,1,Q3,Q3-C,11,C:11
20260608_131046,1,Q4,Q4-D,6,D:6
20260608_131046,2,Q1,Q1-A+B+C,5,"A,B,C:5"
20260608_131046,2,Q2,Q2-B+A,90,"B,A:90"
20260608_131046,2,Q3,Q3-C+B,11,"C,B:11"
20260608_131046,2,Q4,Q4-D+C,6,"D,C:6"
20260608_131046,3,Q1,Q1-A+B+C,5,"A,B,C:5"
20260608_131046,3,Q2,Q2-B+A,90,"B,A:90"
20260608_131046,3,Q3,Q3-C+B,11,"C,B:11"
20260608_131046,3,Q4,Q4-D+C,6,"D,C:6"
20260608_131335,1,Q1,Q1-A+B+C,5,"A,B,C:5"
20260608_131335,1,Q2,Q2-B+A,34,"B,A:34"
20260608_131335,1,Q3,Q3-C,79,C:79
20260608_131335,1,Q4,Q4-D,49,D:49
20260608_131335,2,Q1,Q1-A+B+C,5,"A,B,C:5"
20260608_131335,2,Q2,Q2-B+A,34,"B,A:34"
20260608_131335,2,Q3,Q3-C,79,C:79
20260608_131335,2,Q4,Q4-D+A+C,49,"D,A,C:49"
20260608_131335,3,Q1,Q1-A+B+C,5,"A,B,C:5"
20260608_131335,3,Q2,Q2-B+A,34,"B,A:34"
20260608_131335,3,Q3,Q3-C,79,C:79
20260608_131335,3,Q4,Q4-D+A+C,49,"D,A,C:49"
20260608_131550,1,Q1,Q1-A+B+C,38,"A,B,C:38"
20260608_131550,1,Q2,Q2-B+A,84,"B,A:84"
20260608_131550,1,Q3,Q3-C,66,C:66
20260608_131550,1,Q4,Q4-D,11,D:11
20260608_131550,2,Q1,Q1-A+B+C,38,"A,B,C:38"
20260608_131550,2,Q2,Q2-B+A,84,"B,A:84"
20260608_131550,2,Q3,Q3-C+A,66,"C,A:66"
20260608_131550,2,Q4,Q4-D+C,11,"D,C:11"
20260608_131550,3,Q1,Q1-A+B+C,38,"A,B,C:38"
20260608_131550,3,Q2,Q2-B+A,84,"B,A:84"
20260608_131550,3,Q3,Q3-C+A,66,"C,A:66"
20260608_131550,3,Q4,Q4-D+C,11,"D,C:11"
