game_id,round,question_id,capsule_label,correct_answer,player_answers
20260522_002948,1,Q1,Q1-A+B+C,9,"A,B,C:9"
20260522_002948,1,Q2,Q2-B+A,38,"B,A:38"
20260522_002948,1,Q3,Q3-C,38,C:38
20260522_002948,1,Q4,Q4-D,9,D:wrong answer
20260522_002948,2,Q1,Q1-A+B+C,9,"A,B,C:9"
20260522_002948,2,Q2,Q2-B+A,38,"B,A:38"
20260522_002948,2,Q3,Q3-C,38,C:38
20260522_002948,2,Q4,Q4-D,9,D:wrong answer
20260522_002948,3,Q1,Q1-A+B+C,9,"A,B,C:9"
20260522_002948,3,Q2,Q2-B+A,38,"B,A:38"
20260522_002948,3,Q3,Q3-C,38,C:38
20260522_002948,3,Q4,Q4-D,9,D:wrong answer
20260522_002948,3,Q4,Q4-B+C,9,"B,C:9"
20260522_002948,4,Q1,Q1-A+B+C,9,"A,B,C:9"
20260522_002948,4,Q2,Q2-B+A,38,"B,A:38"
20260522_002948,4,Q3,Q3-C,38,C:38
20260522_002948,4,Q4,Q4-D,9,D:wrong answer
20260522_002948,4,Q4,Q4-B+C,9,"B,C:9"
20260522_003220,1,Q1,Q1-A+B+C,36,"A,B,C:36"
20260522_003220,1,Q2,Q2-B+A,87,"B,A:87"
20260522_003220,1,Q3,Q3-C,11,C:11
20260522_003220,1,Q4,Q4-D,90,D:90
20260522_003220,2,Q1,Q1-A+B+C,36,"A,B,C:36"
20260522_003220,2,Q2,Q2-B+A,87,"B,A:87"
20260522_003220,2,Q3,Q3-C,11,C:11
20260522_003220,2,Q4,Q4-D+A+B+C,90,"D,A,B,C:90"
20260522_003220,3,Q1,Q1-A+B+C,36,"A,B,C:36"
20260522_003220,3,Q2,Q2-B+A,87,"B,A:87"
20260522_003220,3,Q3,Q3-C,11,C:11
20260522_003220,3,Q4,Q4-D+A+B+C,90,"D,A,B,C:90"
20260522_003400,1,Q1,Q1-A+B+C,45,"A,B,C:45"
20260522_003400,1,Q2,Q2-B+A,45,"B,A:45"
20260522_003400,1,Q3,Q3-C,29,C:29
20260522_003400,1,Q4,Q4-D,84,D:84
20260522_003400,2,Q1,Q1-A+B+C,45,"A,B,C:45"
20260522_003400,2,Q2,Q2-B+A,45,"B,A:45"
20260522_003400,2,Q3,Q3-C,29,C:29
20260522_003400,2,Q4,Q4-D+A+C,84,"D,A,C:84"
20260522_003400,3,Q1,Q1-A+B+C,45,"A,B,C:45"
20260522_003400,3,Q2,Q2-B+A,45,"B,A:45"
20260522_003400,3,Q3,Q3-C,29,C:29
20260522_003400,3,Q4,Q4-D+A+C,84,"D,A,C:84"
20260522_003500,1,Q1,Q1-A+B+C,37,"A,B,C:37"
20260522_003500,1,Q2,Q2-B+A,27,"B,A:27"
20260522_003500,1,Q3,Q3-C,5,C:5
20260522_003500,1,Q4,Q4-D,37,D:37
