game_id,round,question_id,capsule_label,correct_answer,player_answers
20260521_215130,1,Q1,Q1-A+B+C,90,"A,B,C:90"
20260521_215130,1,Q2,Q2-B+A,44,"B,A:44"
20260521_215130,1,Q3,Q3-C,7,C:7
20260521_215130,1,Q4,Q4-D,29,D:29
20260521_215130,2,Q1,Q1-A+B+C,90,"A,B,C:90"
20260521_215130,2,Q2,Q2-B+A,44,"B,A:44"
20260521_215130,2,Q3,Q3-C+A+B,7,"C,A,B:7"
20260521_215130,2,Q4,Q4-D,29,D:29
20260521_215130,3,Q1,Q1-A+B+C,90,"A,B,C:90"
20260521_215130,3,Q2,Q2-B+A,44,"B,A:44"
20260521_215130,3,Q3,Q3-C+A+B,7,"C,A,B:7"
20260521_215130,3,Q4,Q4-D,29,D:29
20260521_215440,1,Q1,Q1-A+C,77,"A,C:77"
20260521_215440,1,Q2,Q2-B+A,6,"B,A:6"
20260521_215440,1,Q3,Q3-C,6,C:6
20260521_215440,1,Q4,Q4-D,48,D:48
20260521_215606,1,Q1,Q1-A,49,A:49
20260521_215606,1,Q2,Q2-B+A,11,"B,A:11"
20260521_215606,1,Q3,Q3-C,47,C:47
20260521_215606,1,Q4,Q4-D,60,D:60
20260521_215726,1,Q1,Q1-A,45,A:45
20260521_215726,1,Q2,Q2-B,70,B:70
20260521_215726,1,Q3,Q3-C,88,C:88
20260521_215726,1,Q4,Q4-D,38,D:wrong answer
20260521_215726,2,Q1,Q1-A+B,45,"A,B:45"
20260521_215726,2,Q2,Q2-B+C,70,"B,C:70"
20260521_215726,2,Q3,Q3-C,88,C:88
20260521_215726,2,Q4,Q4-D,38,D:wrong answer
20260521_215726,3,Q1,Q1-A+B,45,"A,B:45"
20260521_215726,3,Q2,Q2-B+C,70,"B,C:70"
20260521_215726,3,Q3,Q3-C+B,88,"C,B:88"
20260521_215726,3,Q4,Q4-D,38,D:wrong answer
20260521_215726,4,Q1,Q1-A+B,45,"A,B:45"
20260521_215726,4,Q2,Q2-B+C,70,"B,C:70"
20260521_215726,4,Q3,Q3-C+B,88,"C,B:88"
20260521_215726,4,Q4,Q4-D,38,D:wrong answer
20260521_220106,1,Q1,Q1-A,72,A:72
20260521_220106,1,Q2,Q2-B+A,66,"B,A:66"
20260521_220106,1,Q3,Q3-C,8,C:8
20260521_220106,1,Q4,Q4-D,37,D:wrong answer
20260521_220106,2,Q1,Q1-A,72,A:72
20260521_220106,2,Q2,Q2-B+A,66,"B,A:66"
20260521_220106,2,Q3,Q3-C+A,8,"C,A:8"
20260521_220106,2,Q4,Q4-D,37,D:wrong answer
20260521_220106,2,Q4,Q4-B,37,B:37
20260521_220106,3,Q1,Q1-A,72,A:72
20260521_220106,3,Q2,Q2-B+A,66,"B,A:66"
20260521_220106,3,Q3,Q3-C+A,8,"C,A:8"
20260521_220106,3,Q4,Q4-D,37,D:wrong answer
20260521_220106,3,Q4,Q4-B,37,B:37
20260521_220435,1,Q1,Q1-A+C,80,"A,C:80"
20260521_220435,1,Q2,Q2-B+A,63,"B,A:63"
20260521_220435,1,Q3,Q3-C,10,C:10
20260521_220435,1,Q4,Q4-D+B,8,"D,B:8"
20260521_220435,2,Q1,Q1-A+C,80,"A,C:80"
20260521_220435,2,Q2,Q2-B+A,63,"B,A:63"
20260521_220435,2,Q3,Q3-C,10,C:10
20260521_220435,2,Q4,Q4-D+B,8,"D,B:8"
20260521_220751,1,Q1,Q1-A+C,9,"A,C:9"
20260521_220751,1,Q2,Q2-B+A,56,"B,A:56"
20260521_220751,1,Q3,Q3-C,37,C:37
20260521_220751,1,Q4,Q4-D+B,72,"D,B:72"
20260521_220751,2,Q1,Q1-A+C,9,"A,C:9"
20260521_220751,2,Q2,Q2-B+A,56,"B,A:56"
20260521_220751,2,Q3,Q3-C,37,C:37
20260521_220751,2,Q4,Q4-D+B,72,"D,B:72"
20260521_220941,1,Q1,Q1-A+C,48,"A,C:48"
20260521_220941,1,Q2,Q2-B+A,38,"B,A:38"
20260521_220941,1,Q3,Q3-C,86,C:86
20260521_220941,1,Q4,Q4-D+B,87,"D,B:87"
20260521_220941,2,Q1,Q1-A+C,48,"A,C:48"
20260521_220941,2,Q2,Q2-B+A,38,"B,A:38"
20260521_220941,2,Q3,Q3-C,86,C:86
20260521_220941,2,Q4,Q4-D+B,87,"D,B:87"
20260521_221109,1,Q1,Q1-A+C,8,"A,C:8"
20260521_221109,1,Q2,Q2-B+A,34,"B,A:34"
20260521_221109,1,Q3,Q3-C,36,C:36
20260521_221109,1,Q4,Q4-D,60,D:60
20260521_221313,1,Q1,Q1-A+C,5,"A,C:5"
20260521_221313,1,Q2,Q2-B+A,24,"B,A:24"
20260521_221313,1,Q3,Q3-C,83,C:83
20260521_221313,1,Q4,Q4-D,78,D:78
20260521_221403,1,Q1,Q1-A+C,82,"A,C:82"
20260521_221403,1,Q2,Q2-B+A,83,"B,A:83"
20260521_221403,1,Q3,Q3-C,11,C:11
20260521_221403,1,Q4,Q4-D,36,D:36
