game_id,round,question_id,capsule_label,correct_answer,player_answers
20260520_022808,1,Q1,Q1-A+B+C,18,"A,B,C:18"
20260520_022808,1,Q2,Q2-B+A,66,"B,A:66"
20260520_022808,1,Q3,Q3-C,39,C:39
20260520_022808,1,Q4,Q4-D,75,D:wrong answer
20260520_022808,2,Q1,Q1-A+B+C,18,"A,B,C:18"
20260520_022808,2,Q2,Q2-B+A,66,"B,A:66"
20260520_022808,2,Q3,Q3-C+A,39,"C,A:39"
20260520_022808,2,Q4,Q4-D,75,D:wrong answer
20260520_022808,3,Q1,Q1-A+B+C,18,"A,B,C:18"
20260520_022808,3,Q2,Q2-B+A,66,"B,A:66"
20260520_022808,3,Q3,Q3-C+A,39,"C,A:39"
20260520_022808,3,Q4,Q4-D,75,D:wrong answer
20260520_022808,3,Q4,Q4-A,75,A:75
20260520_022808,4,Q1,Q1-A+B+C,18,"A,B,C:18"
20260520_022808,4,Q2,Q2-B+A,66,"B,A:66"
20260520_022808,4,Q3,Q3-C+A,39,"C,A:39"
20260520_022808,4,Q4,Q4-D,75,D:wrong answer
20260520_022808,4,Q4,Q4-A,75,A:75
20260520_023028,1,Q1,Q1-A+B,44,"A,B:44"
20260520_023028,1,Q2,Q2-B+A,49,"B,A:49"
20260520_023028,1,Q3,Q3-C,83,C:83
20260520_023028,1,Q4,Q4-D,43,D:wrong answer
20260520_023028,1,Q4,Q4-C,43,C:43
20260520_023028,2,Q1,Q1-A+B,44,"A,B:44"
20260520_023028,2,Q2,Q2-B+A,49,"B,A:49"
20260520_023028,2,Q3,Q3-C,83,C:83
20260520_023028,2,Q4,Q4-D,43,D:wrong answer
20260520_023028,2,Q4,Q4-C+A+B,43,"C,A,B:43"
20260520_023308,1,Q1,Q1-A+B,9,"A,B:9"
20260520_023308,1,Q2,Q2-B+A,9,"B,A:9"
20260520_023308,1,Q3,Q3-C,29,C:29
20260520_023308,1,Q4,Q4-D+C,82,"D,C:82"
20260520_023308,2,Q1,Q1-A+B,9,"A,B:9"
20260520_023308,2,Q2,Q2-B+A,9,"B,A:9"
20260520_023308,2,Q3,Q3-C,29,C:29
20260520_023308,2,Q4,Q4-D+C,82,"D,C:82"
20260520_023454,1,Q1,Q1-A,7,A:7
20260520_023454,1,Q2,Q2-B+A,39,"B,A:39"
20260520_023454,1,Q3,Q3-C,87,C:87
20260520_023454,1,Q4,Q4-D+C,8,"D,C:8"
20260520_023614,1,Q1,Q1-A,84,A:84
20260520_023614,1,Q2,Q2-B+A,60,"B,A:60"
20260520_023614,1,Q3,Q3-C,80,C:80
20260520_023614,1,Q4,Q4-D+C,38,"D,C:38"
20260520_023706,1,Q1,Q1-A,24,A:24
20260520_023706,1,Q2,Q2-B+A,84,"B,A:84"
20260520_023706,1,Q3,Q3-C,90,C:90
20260520_023706,1,Q4,Q4-D+C,54,"D,C:54"
20260520_023741,1,Q1,Q1-A,5,A:5
20260520_023741,1,Q2,Q2-B+A,77,"B,A:77"
20260520_023741,1,Q3,Q3-C,38,C:38
20260520_023741,1,Q4,Q4-D+C,38,"D,C:38"
20260520_023805,1,Q1,Q1-A,45,A:45
20260520_023805,1,Q2,Q2-B+A,60,"B,A:60"
20260520_023805,1,Q3,Q3-C,8,C:8
20260520_023805,1,Q4,Q4-D+C,79,"D,C:79"
20260520_023826,1,Q1,Q1-A,48,A:48
20260520_023826,1,Q2,Q2-B+A,90,"B,A:90"
20260520_023826,1,Q3,Q3-C,23,C:23
20260520_023826,1,Q4,Q4-D+C,11,"D,C:11"
20260520_023846,1,Q1,Q1-A,6,A:6
20260520_023846,1,Q2,Q2-B+A,86,"B,A:86"
20260520_023846,1,Q3,Q3-C,84,C:84
20260520_023846,1,Q4,Q4-D+C,5,"D,C:5"
20260520_023911,1,Q1,Q1-A,83,A:83
20260520_023911,1,Q2,Q2-B+A,9,"B,A:9"
20260520_023911,1,Q3,Q3-C,27,C:27
20260520_023911,1,Q4,Q4-D+C,11,"D,C:11"
