game_id,round,question_id,capsule_label,correct_answer,player_answers
20251210_132247,1,Q1,Q1-A+B+C,37,"A,B,C:37"
20251210_132247,1,Q2,Q2-B+A,33,"B,A:33"
20251210_132247,1,Q3,Q3-C,8,C:8
20251210_132247,1,Q4,Q4-D,39,D:wrong answer
20251210_132247,2,Q1,Q1-A+B+C,37,"A,B,C:37"
20251210_132247,2,Q2,Q2-B+A,33,"B,A:33"
20251210_132247,2,Q3,Q3-C+B,8,"C,B:8"
20251210_132247,2,Q4,Q4-D,39,D:wrong answer
20251210_132247,3,Q1,Q1-A+B+C,37,"A,B,C:37"
20251210_132247,3,Q2,Q2-B+A,33,"B,A:33"
20251210_132247,3,Q3,Q3-C+B,8,"C,B:8"
20251210_132247,3,Q4,Q4-D,39,D:wrong answer
20251210_132247,3,Q4,Q4-B,39,B:39
20251210_132247,4,Q1,Q1-A+B+C,37,"A,B,C:37"
20251210_132247,4,Q2,Q2-B+A,33,"B,A:33"
20251210_132247,4,Q3,Q3-C+B,8,"C,B:8"
20251210_132247,4,Q4,Q4-D,39,D:wrong answer
20251210_132247,4,Q4,Q4-B,39,B:39
20251210_132930,1,Q1,Q1-A+B,7,"A,B:7"
20251210_132930,1,Q2,Q2-B,70,B:70
20251210_132930,1,Q3,Q3-C,54,C:54
20251210_132930,1,Q4,Q4-D+C,6,"D,C:6"
20251210_133327,1,Q1,Q1-A,38,A:38
20251210_133327,1,Q2,Q2-B,60,B:60
20251210_133327,1,Q3,Q3-C,5,C:5
20251210_133327,1,Q4,Q4-D+B,8,"D,B:8"
20251210_134048,1,Q1,Q1-A,60,A:60
20251210_134048,1,Q2,Q2-B,90,B:90
20251210_134048,1,Q3,Q3-C,11,C:11
20251210_134048,1,Q4,Q4-D+B,66,"D,B:66"
20251210_134432,1,Q1,Q1-A,49,A:49
20251210_134432,1,Q2,Q2-B,6,B:6
20251210_134432,1,Q3,Q3-C,66,C:66
20251210_134432,1,Q4,Q4-D+B,8,"D,B:8"
20251210_134826,1,Q1,Q1-A,45,A:45
20251210_134826,1,Q2,Q2-B,8,B:8
20251210_134826,1,Q3,Q3-C,39,C:39
20251210_134826,1,Q4,Q4-D+B,43,"D,B:43"
20251210_135020,1,Q1,Q1-A,48,A:48
20251210_135020,1,Q2,Q2-B,76,B:76
20251210_135020,1,Q3,Q3-C,24,C:24
20251210_135020,1,Q4,Q4-D+B,60,"D,B:60"
20251210_135222,1,Q1,Q1-A,4,A:4
20251210_135222,1,Q2,Q2-B,44,B:44
20251210_135222,1,Q3,Q3-C,90,C:90
20251210_135222,1,Q4,Q4-D+B,83,"D,B:83"
20251210_135504,1,Q1,Q1-A,34,A:34
20251210_135504,1,Q2,Q2-B,29,B:29
20251210_135504,1,Q3,Q3-C,77,C:77
20251210_135504,1,Q4,Q4-D+B,8,"D,B:8"
20251210_135742,1,Q1,Q1-A,11,A:11
20251210_135742,1,Q2,Q2-B,48,B:48
20251210_135742,1,Q3,Q3-C,61,C:61
20251210_135742,1,Q4,Q4-D+B,11,"D,B:11"
20251210_140014,1,Q1,Q1-A,64,A:64
20251210_140014,1,Q2,Q2-B,18,B:18
20251210_140014,1,Q3,Q3-C,78,C:78
20251210_140014,1,Q4,Q4-D+B,79,"D,B:79"
