game_id,round,question_id,capsule_label,correct_answer,player_answers
20260522_023140,1,Q1,Q1-A+B+C,36,"A,B,C:36"
20260522_023140,1,Q2,Q2-B+A,38,"B,A:38"
20260522_023140,1,Q3,Q3-C,61,C:61
20260522_023140,1,Q4,Q4-D,45,D:wrong answer
20260522_023140,2,Q1,Q1-A+B+C,36,"A,B,C:36"
20260522_023140,2,Q2,Q2-B+A,38,"B,A:38"
20260522_023140,2,Q3,Q3-C,61,C:61
20260522_023140,2,Q4,Q4-D,45,D:wrong answer
20260522_023140,2,Q4,Q4-A+C,45,"A,C:45"
20260522_023140,3,Q1,Q1-A+B+C,36,"A,B,C:36"
20260522_023140,3,Q2,Q2-B+A,38,"B,A:38"
20260522_023140,3,Q3,Q3-C,61,C:61
20260522_023140,3,Q4,Q4-D,45,D:wrong answer
20260522_023140,3,Q4,Q4-A+C,45,"A,C:45"
20260522_023429,1,Q1,Q1-A+B,72,"A,B:72"
20260522_023429,1,Q2,Q2-B+A+C,37,"B,A,C:37"
20260522_023429,1,Q3,Q3-C,44,C:44
20260522_023429,1,Q4,Q4-D,9,D:9
20260522_023429,2,Q1,Q1-A+B,72,"A,B:72"
20260522_023429,2,Q2,Q2-B+A+C,37,"B,A,C:37"
20260522_023429,2,Q3,Q3-C,44,C:44
20260522_023429,2,Q4,Q4-D+A+C,9,"D,A,C:9"
20260522_023429,3,Q1,Q1-A+B,72,"A,B:72"
20260522_023429,3,Q2,Q2-B+A+C,37,"B,A,C:37"
20260522_023429,3,Q3,Q3-C,44,C:44
20260522_023429,3,Q4,Q4-D+A+C,9,"D,A,C:9"
20260522_023831,1,Q1,Q1-A,84,A:84
20260522_023831,1,Q2,Q2-B+A,76,"B,A:76"
20260522_023831,1,Q3,Q3-C,60,C:60
20260522_023831,1,Q4,Q4-D+C,7,"D,C:7"
20260522_024002,1,Q1,Q1-A,24,A:24
20260522_024002,1,Q2,Q2-B+A,6,"B,A:6"
20260522_024002,1,Q3,Q3-C,5,C:5
20260522_024002,1,Q4,Q4-D+C,39,"D,C:39"
20260522_024140,1,Q1,Q1-A,38,A:38
20260522_024140,1,Q2,Q2-B+A,6,"B,A:6"
20260522_024140,1,Q3,Q3-C,82,C:82
20260522_024140,1,Q4,Q4-D,80,D:wrong answer
20260522_024140,1,Q4,Q4-C,80,C:80
20260522_024140,2,Q1,Q1-A,38,A:38
20260522_024140,2,Q2,Q2-B+A,6,"B,A:6"
20260522_024140,2,Q3,Q3-C,82,C:82
20260522_024140,2,Q4,Q4-D,80,D:wrong answer
20260522_024140,2,Q4,Q4-C,80,C:80
20260522_024457,1,Q1,Q1-A,10,A:10
20260522_024457,1,Q2,Q2-B,47,B:47
20260522_024457,1,Q3,Q3-C,6,C:6
20260522_024457,1,Q4,Q4-D+A+B+C,79,"D,A,B,C:79"
20260522_024457,2,Q1,Q1-A,10,A:10
20260522_024457,2,Q2,Q2-B,47,B:47
20260522_024457,2,Q3,Q3-C,6,C:6
20260522_024457,2,Q4,Q4-D+A+B+C,79,"D,A,B,C:79"
20260522_024859,1,Q1,Q1-A,6,A:6
20260522_024859,1,Q2,Q2-B,43,B:43
20260522_024859,1,Q3,Q3-C,60,C:60
20260522_024859,1,Q4,Q4-D+A+B+C,75,"D,A,B,C:75"
20260522_024859,2,Q1,Q1-A,6,A:6
20260522_024859,2,Q2,Q2-B,43,B:43
20260522_024859,2,Q3,Q3-C,60,C:60
20260522_024859,2,Q4,Q4-D+A+B+C,75,"D,A,B,C:75"
20260522_025249,1,Q1,Q1-A,11,A:11
20260522_025249,1,Q2,Q2-B,90,B:90
20260522_025249,1,Q3,Q3-C,49,C:49
20260522_025249,1,Q4,Q4-D+C,77,"D,C:77"
20260522_025639,1,Q1,Q1-A,36,A:36
20260522_025639,1,Q2,Q2-B,48,B:48
20260522_025639,1,Q3,Q3-C,48,C:48
20260522_025639,1,Q4,Q4-D+C,8,"D,C:8"
20260522_025758,1,Q1,Q1-A,9,A:9
20260522_025758,1,Q2,Q2-B,8,B:8
20260522_025758,1,Q3,Q3-C,82,C:82
20260522_025758,1,Q4,Q4-D+C,29,"D,C:29"
20260522_025848,1,Q1,Q1-A,9,A:9
20260522_025848,1,Q2,Q2-B,75,B:75
20260522_025848,1,Q3,Q3-C,87,C:87
20260522_025848,1,Q4,Q4-D+C,45,"D,C:45"
