game_id,round,question_id,capsule_label,correct_answer,player_answers
20260520_202207,1,Q1,Q1-A+C,11,"A,C:11"
20260520_202207,1,Q2,Q2-B,66,B:66
20260520_202207,1,Q3,Q3-C,8,C:8
20260520_202207,1,Q4,Q4-D,5,D:5
20260520_202207,2,Q1,Q1-A+C,11,"A,C:11"
20260520_202207,2,Q2,Q2-B+A+C,66,"B,A,C:66"
20260520_202207,2,Q3,Q3-C,8,C:8
20260520_202207,2,Q4,Q4-D,5,D:5
20260520_202207,3,Q1,Q1-A+C,11,"A,C:11"
20260520_202207,3,Q2,Q2-B+A+C,66,"B,A,C:66"
20260520_202207,3,Q3,Q3-C+A,8,"C,A:8"
20260520_202207,3,Q4,Q4-D,5,D:5
20260520_202419,1,Q1,Q1-A+B,63,"A,B:63"
20260520_202419,1,Q2,Q2-B+A+C,37,"B,A,C:37"
20260520_202419,1,Q3,Q3-C,43,C:43
20260520_202419,1,Q4,Q4-D,60,D:60
20260520_202419,2,Q1,Q1-A+B,63,"A,B:63"
20260520_202419,2,Q2,Q2-B+A+C,37,"B,A,C:37"
20260520_202419,2,Q3,Q3-C+A,43,"C,A:43"
20260520_202419,2,Q4,Q4-D,60,D:60
20260520_202548,1,Q1,Q1-A+B,83,"A,B:83"
20260520_202548,1,Q2,Q2-B+A+C,61,"B,A,C:61"
20260520_202548,1,Q3,Q3-C,77,C:77
20260520_202548,1,Q4,Q4-D,66,D:66
20260520_202548,2,Q1,Q1-A+B,83,"A,B:83"
20260520_202548,2,Q2,Q2-B+A+C,61,"B,A,C:61"
20260520_202548,2,Q3,Q3-C,77,C:77
20260520_202548,2,Q4,Q4-D,66,D:66
20260520_202654,1,Q1,Q1-A+B,48,"A,B:48"
20260520_202654,1,Q2,Q2-B+A,24,"B,A:24"
20260520_202654,1,Q3,Q3-C,34,C:34
20260520_202654,1,Q4,Q4-D,90,D:90
20260520_202805,1,Q1,Q1-A+B,11,"A,B:11"
20260520_202805,1,Q2,Q2-B,6,B:6
20260520_202805,1,Q3,Q3-C,43,C:43
20260520_202805,1,Q4,Q4-D,80,D:80
20260520_202830,1,Q1,Q1-A+B,18,"A,B:18"
20260520_202830,1,Q2,Q2-B,75,B:75
20260520_202830,1,Q3,Q3-C,60,C:60
20260520_202830,1,Q4,Q4-D,72,D:72
20260520_202917,1,Q1,Q1-A+B,64,"A,B:64"
20260520_202917,1,Q2,Q2-B,39,B:39
20260520_202917,1,Q3,Q3-C,72,C:72
20260520_202917,1,Q4,Q4-D,84,D:84
